Address,FLAG,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Sent_tnx,Received_Tnx,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name
0x0020731604c882cf7bf8c444be97d17b19ea4316,1.0,1457.31,34.12,3.0,13.0,10.0,3.0,1.0,2.501052,1.348445,1.000875,11.277872,5.842916,0.0,0.0,0.0,17.52874745,17.52978485,0.0,0.0010374,13.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.337,13.37,13.37,0.0,0.0,0.0,0.0,1.0
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1.0,3976.5,834.77,2.0,2.0,1.0,2.0,0.586269,0.947515,0.766892,0.585408,0.947284,0.766346,0.0,0.0,0.0,1.53269261,1.53378461,0.0,0.001092,1.337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1.0,112.9,31.87,2.0,3.0,3.0,1.0,0.00102,0.8178,0.439607,0.50039,0.817506,0.658948,0.0,0.0,0.0,1.317896,1.31882,0.0,0.000924,1.337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1.0,2300.37,65.1,29.0,98.0,89.0,26.0,0.000784,15.729068,0.383225,0.0,36.7,1.314957,0.0,0.0,0.0,38.13376706,37.55604606,0.0,-0.577721002,142677.3829,120354.7684,0.0,6.0,55.0,37.0,0.0,0.0,0.0,0.0,26436.081,1954.484697,0.0,81324.0746,5232.816018,22.0,37.0
0x005b9f4516f8e640bbe48136901738b323c53b00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.337,13.37,13.37,0.0,0.0,0.0,0.0,1.0
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1.0,59129.36,0.0,2.0,1.0,1.0,2.0,0.68,0.68,0.68,0.0033,0.676,0.33965,0.0,0.0,0.0,0.6793,0.68,0.0,0.0007,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
0x0084515449b037205a33d6d3940a5684126aa4b5,1.0,1819.9,638.12,2.0,8.0,7.0,2.0,0.0,1.01947,0.343872,0.74909,2.000162,1.374626,0.0,0.0,0.0,2.74925268,2.75097468,0.0,0.001722,13.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,1.0
0x008f3db10374099a11ec263415cb88c952abeedc,1.0,6556.08,255.89,8.0,5.0,4.0,8.0,0.0001,50.0,23.40002,11.996572,15.0,14.624572,0.0,0.0,0.0,116.996572,117.0001,0.0,0.003528,1386.486552,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1386.486552,1386.486552,1386.486552,0.0,0.0,0.0,0.0,1.0
0x00c8bd3cd1e649a3fd2a89b3edc1c2ab631227a0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.000683,0.000683,0.000683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000683003,0.0,0.000683003,13.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,1.0
